,purebred,age_upon_intake,sterilized_upon_intake,time_at_shelter,age_upon_outcome,sterilized_upon_outcome,is_dog,is_male,breed1_ec,breed2_ec,col1_ec,col2_ec,in_type_ec,in_cond_ec,out_type_ec
2651,False,0,False,2,0.0,False,True,False,41,0,5,6,1,0,3
2652,False,0,False,2,0.0,True,True,False,12,0,2,0,1,0,1
2653,False,2,False,3,2.0,False,True,True,17,0,1,3,0,0,0
2654,False,3,True,2,3.0,True,True,True,6,1,1,3,0,0,0
2655,False,0,False,1,0.0,False,True,False,45,0,1,6,1,0,3
2656,False,0,True,13,0.0,True,False,False,4,0,3,0,1,1,4
2657,False,1,False,4,1.0,True,True,False,12,0,5,3,0,0,1
2658,False,6,True,0,6.0,True,False,True,4,0,2,0,0,0,0
2659,False,2,False,68,2.0,True,True,True,77,8,2,0,0,2,1
2660,False,0,True,0,0.0,True,False,True,4,0,4,2,0,2,4
2661,False,1,False,2,0.0,True,True,False,13,0,5,2,1,0,1
2662,False,7,True,34,7.0,True,False,True,4,0,5,0,0,0,1
2663,False,9,True,10,9.0,True,True,True,6,0,6,0,1,0,1
2664,False,5,True,5,5.0,True,True,False,3,0,5,3,0,0,1
2665,False,2,True,42,2.0,True,True,False,16,14,1,3,1,0,1
2666,False,1,False,6,1.0,True,True,False,6,0,1,0,0,0,1
2667,False,3,True,1,3.0,True,True,True,1,0,1,3,0,0,0
2668,False,2,False,3,2.0,True,True,True,3,0,1,3,1,0,1
2669,False,0,False,4,0.0,True,False,True,4,0,5,2,0,0,1
2670,False,2,True,3,2.0,True,True,False,28,0,1,3,0,0,3
2671,False,2,False,23,2.0,True,True,False,1,0,5,3,0,0,1
2672,False,2,True,2,2.0,True,True,True,3,0,2,0,1,0,1
2673,False,2,False,7,2.0,True,True,False,51,76,5,3,0,0,1
2674,False,2,True,10,2.0,True,True,True,12,0,2,6,0,0,1
2675,False,2,False,0,2.0,False,True,True,17,1,5,3,0,0,4
2676,False,0,False,7,0.0,True,True,False,136,0,2,0,0,0,1
2677,False,1,False,3,0.0,True,False,False,4,0,1,3,1,0,1
2678,False,1,False,24,1.0,False,True,True,145,0,2,0,2,0,3
2679,False,2,False,0,2.0,False,True,True,1,0,1,3,0,0,0
2680,False,1,False,9,1.0,False,True,True,18,0,5,3,0,0,1
2681,False,0,False,1,0.0,False,False,True,50,0,5,3,0,2,3
2682,False,4,True,0,4.0,True,True,False,47,0,5,3,0,0,0
2683,True,2,False,18,2.0,True,False,False,29,0,3,0,1,1,1
2684,False,1,False,0,1.0,False,False,False,4,0,2,0,0,2,0
2685,False,0,False,1,0.0,False,False,False,50,0,4,2,0,2,2
2686,False,5,True,7,5.0,True,True,True,21,0,5,2,2,0,0
2687,False,1,False,15,1.0,False,True,False,1,0,1,3,0,0,3
2688,False,1,True,5,1.0,True,True,False,93,0,5,3,1,0,1
2689,False,0,False,0,0.0,False,True,False,1,0,4,2,0,1,3
2690,False,1,False,4,0.0,True,True,False,3,0,1,3,0,0,1
2691,False,0,False,4,0.0,True,True,False,1,0,4,2,0,0,1
2692,False,1,True,0,1.0,True,True,True,3,0,3,0,1,0,3
2693,True,2,False,117,2.0,True,True,False,6,0,3,0,0,0,1
2694,False,6,False,22,6.0,True,True,False,72,0,2,0,0,1,1
2695,False,2,False,23,2.0,True,True,True,13,0,1,3,0,0,1
2696,False,1,True,45,1.0,True,False,True,50,0,2,0,1,2,1
2697,False,5,True,16,5.0,True,False,False,4,0,4,2,1,0,3
2698,True,4,True,4,4.0,True,True,False,1,0,4,2,1,1,4
2699,True,3,True,2,3.0,True,True,False,6,0,1,3,1,0,1
2700,False,2,True,2,2.0,True,True,True,21,0,5,0,0,0,0
2701,False,3,False,4,3.0,False,False,True,4,0,1,3,0,0,3
2702,True,0,False,6,0.0,False,True,False,12,0,5,3,0,0,3
2703,False,6,True,13,6.0,True,False,False,4,0,0,0,1,0,1
2704,False,8,True,40,8.0,True,False,True,4,0,5,0,1,0,1
2705,False,1,False,2,0.0,True,True,True,22,11,2,0,1,0,1
2706,True,4,False,7,4.0,True,True,True,74,0,5,2,0,0,1
2707,True,3,False,6,3.0,False,True,False,6,0,2,0,0,0,3
2708,False,0,False,3,0.0,True,True,True,72,0,2,0,0,0,1
2709,False,5,False,0,5.0,False,False,True,4,0,5,0,0,1,2
2710,True,15,True,1,15.0,True,True,True,64,0,6,0,2,0,0
2711,True,1,False,7,1.0,True,True,True,32,0,6,0,0,0,1
2712,True,2,True,0,2.0,True,True,True,3,0,5,3,2,0,0
2713,True,3,False,2,3.0,False,True,True,1,0,5,2,2,0,0
2714,False,2,True,8,2.0,True,True,True,37,3,1,3,0,0,3
2715,True,6,True,32,6.0,True,True,False,6,0,5,0,1,0,1
2716,False,1,False,7,1.0,True,True,False,3,17,2,6,0,0,1
2717,False,2,False,4,2.0,True,True,False,24,11,5,3,0,0,1
2718,True,0,False,2,0.0,False,False,False,29,0,4,4,1,0,1
2719,True,0,False,62,0.0,True,True,True,6,0,5,0,0,0,1
2720,True,2,False,6,2.0,True,True,True,3,0,2,0,0,0,1
2721,True,2,False,21,2.0,True,False,True,91,0,5,2,0,0,3
2722,False,2,True,4,2.0,True,False,True,4,0,5,0,0,0,3
2723,False,1,False,0,1.0,False,True,False,6,0,2,0,0,2,3
2724,False,0,False,5,0.0,True,True,False,6,0,5,3,0,0,1
2725,True,1,False,22,0.0,True,True,True,78,0,4,0,0,0,1
2726,False,2,False,15,2.0,True,True,True,6,1,1,0,0,0,1
2727,True,2,False,6,2.0,True,True,True,32,0,5,2,0,0,1
2728,False,3,True,11,3.0,True,True,False,1,0,1,3,2,0,0
2729,False,2,True,4,2.0,True,False,False,4,0,4,0,0,0,1
2730,False,2,True,6,2.0,True,True,True,0,0,1,3,2,0,0
2731,False,1,False,0,1.0,False,False,True,4,0,2,0,0,0,3
2732,True,2,True,17,2.0,True,True,True,41,0,1,1,1,0,4
2733,True,7,True,0,7.0,True,True,False,34,0,1,3,0,0,0
2734,False,1,False,368,2.0,True,True,False,27,0,0,0,1,0,1
2735,False,11,True,0,11.0,True,True,True,51,13,5,3,0,0,0
2736,False,0,False,1,0.0,False,False,True,4,0,4,0,1,1,3
2737,False,2,False,18,2.0,True,True,False,3,0,2,0,1,1,3
2738,False,2,False,0,2.0,False,True,True,10,0,1,4,1,2,3
2739,False,11,True,0,11.0,True,True,True,34,0,5,2,0,0,0
2740,False,3,True,0,3.0,True,True,False,42,32,2,0,0,2,0
2741,False,1,False,21,1.0,True,True,False,1,0,5,3,0,0,4
2742,False,4,False,2,4.0,True,True,False,18,0,5,3,0,0,0
2743,False,0,True,1,0.0,True,False,False,4,0,3,0,0,2,0
2744,False,1,False,16,1.0,True,True,True,6,0,5,0,0,0,3
2745,False,1,True,94,1.0,True,True,True,12,3,5,3,1,0,1
2746,False,1,False,1,1.0,False,False,True,4,0,5,0,0,0,3
2747,False,2,False,4,2.0,True,True,False,9,0,1,0,0,0,1
2748,False,0,False,1,1.0,False,True,False,11,0,1,0,2,0,0
2749,False,10,True,178,10.0,True,True,False,3,0,5,2,0,0,1
2750,False,0,False,2,0.0,True,True,False,6,0,1,3,1,0,1
2751,False,9,True,4,9.0,True,True,True,16,1,1,3,2,0,0
2752,False,2,True,4,2.0,True,False,True,4,0,1,3,0,0,0
2753,False,3,True,0,3.0,True,True,True,115,0,1,3,0,0,0
2754,False,2,False,27,2.0,True,True,False,1,0,5,2,0,0,1
2755,False,4,False,0,4.0,False,False,True,4,0,2,0,0,0,4
2756,False,7,True,48,8.0,True,False,True,4,0,5,2,0,0,3
2757,False,4,False,6,4.0,True,True,False,42,0,5,3,0,0,3
2758,False,0,False,2,0.0,True,True,True,48,77,4,0,1,0,1
2759,False,1,True,3,1.0,True,True,True,45,10,2,0,0,0,1
2760,True,5,True,0,5.0,True,True,False,94,0,1,1,0,0,0
2761,False,3,True,0,3.0,True,True,False,1,0,5,3,2,2,4
2762,False,2,True,103,2.0,True,False,True,4,0,0,0,0,2,3
2763,False,0,True,9,1.0,True,True,True,41,0,5,2,0,0,1
2764,False,0,True,8,0.0,True,True,False,6,0,5,2,1,0,1
2765,False,0,True,0,0.0,True,True,False,21,0,5,2,0,0,0
2766,True,6,True,10,6.0,True,True,False,39,0,5,2,2,2,3
2767,False,10,True,10,10.0,True,True,False,3,0,3,0,2,0,0
2768,False,0,False,1,0.0,False,True,False,1,0,1,0,2,0,0
2769,False,0,False,3,0.0,False,True,True,6,0,1,3,0,7,3
2770,False,8,True,1,8.0,True,True,False,18,0,5,2,0,0,0
2771,False,1,False,46,1.0,False,True,False,6,0,5,2,0,0,1
2772,False,0,False,7,0.0,True,True,True,3,0,5,3,0,0,1
2773,False,1,False,7,0.0,True,True,False,6,0,5,2,0,0,1
2774,True,16,True,2,16.0,True,True,False,110,0,1,0,0,0,0
2775,False,0,True,29,0.0,True,False,False,4,0,5,0,1,0,1
2776,False,8,True,6,9.0,True,True,False,9,0,1,0,0,0,1
2777,False,11,True,66,11.0,True,False,False,4,0,3,0,0,3,1
2778,False,0,False,4,0.0,True,True,True,146,0,3,0,0,0,1
2779,False,0,False,5,0.0,True,True,True,22,0,5,3,0,0,1
2780,False,2,True,1,2.0,True,True,True,1,0,5,3,1,0,1
2781,False,2,False,10,2.0,True,False,False,4,0,4,2,0,0,3
2782,False,2,True,0,2.0,True,True,False,90,0,2,0,0,0,0
2783,False,2,True,0,2.0,True,True,True,3,0,5,0,0,0,0
2784,True,1,True,1,1.0,True,True,True,1,0,4,3,0,0,0
2785,False,0,False,4,0.0,True,False,True,4,0,4,2,0,0,1
2786,False,1,False,49,1.0,True,True,False,1,0,5,3,0,0,1
2787,False,0,False,7,0.0,True,True,True,101,0,1,3,0,2,1
2788,False,0,False,4,0.0,True,True,False,12,0,5,3,0,0,1
2789,False,1,False,29,1.0,True,True,False,1,0,4,2,0,1,1
2790,False,2,False,8,2.0,True,True,True,12,3,5,3,0,0,1
2791,False,0,False,0,0.0,False,True,False,1,0,2,0,3,1,3
2792,False,2,False,6,2.0,True,True,True,147,0,2,0,0,2,1
2793,False,8,False,6,8.0,False,True,True,2,0,2,0,0,1,3
2794,False,0,True,4,0.0,True,True,False,1,0,5,3,0,0,1
2795,False,3,False,19,3.0,True,False,True,15,0,5,3,0,2,1
2796,False,3,True,8,3.0,True,True,True,6,0,5,2,2,0,0
2797,False,1,False,0,1.0,False,True,True,3,0,2,0,0,2,4
2798,False,5,False,4,5.0,True,True,False,20,0,4,5,0,2,3
2799,False,1,False,39,1.0,True,True,True,1,0,5,3,0,0,1
2800,False,1,True,11,1.0,True,True,True,41,0,3,0,0,0,1
2801,False,1,True,4,1.0,True,False,True,4,0,0,0,1,0,1
2802,False,0,True,0,0.0,True,False,True,4,0,4,2,0,0,0
2803,True,5,True,0,5.0,True,True,True,2,0,3,0,0,0,0
2804,False,0,False,5,0.0,True,True,False,1,0,4,2,0,0,1
