,age_upon_intake,sterilized_upon_intake,age_upon_outcome,sterilized_upon_outcome,is_dog,col2_ec,in_type_ec,in_cond_ec,out_type_ec
7865,1,False,1.0,True,True,3,0,0,1
7866,6,True,6.0,True,True,0,1,0,3
7867,1,False,1.0,True,True,0,0,0,1
7868,2,False,2.0,False,True,2,0,0,0
7869,0,False,0.0,True,True,3,1,0,1
7870,5,False,5.0,True,True,0,0,0,1
7871,7,True,7.0,True,True,0,0,0,0
7872,3,False,3.0,True,True,0,0,0,3
7873,5,True,5.0,True,False,3,1,0,1
7874,2,True,2.0,True,True,0,1,0,1
7875,0,False,0.0,False,True,0,0,0,3
7876,4,False,4.0,False,True,3,1,0,3
7877,2,False,2.0,True,True,0,1,0,1
7878,2,False,2.0,False,True,0,0,0,0
7879,0,False,0.0,True,True,3,0,0,1
7880,1,False,1.0,True,True,0,0,0,3
7881,1,False,0.0,True,False,1,0,0,1
7882,11,True,11.0,True,True,0,0,0,3
7883,3,True,4.0,True,True,2,1,0,1
7884,7,False,7.0,True,True,0,0,0,0
7885,0,False,0.0,True,True,2,1,0,1
7886,3,True,3.0,True,True,3,1,0,1
7887,2,True,2.0,True,True,1,2,0,0
7888,5,True,6.0,True,False,2,1,0,0
7889,9,True,9.0,True,True,0,0,0,1
7890,0,False,0.0,True,False,1,1,0,1
7891,3,True,3.0,True,True,0,0,0,1
7892,0,False,0.0,False,False,0,0,0,3
7893,2,False,2.0,True,True,3,0,0,1
7894,2,True,2.0,True,True,1,0,0,4
7895,9,True,9.0,True,True,2,1,0,1
7896,0,False,0.0,True,True,0,0,0,1
7897,2,False,2.0,False,False,2,0,2,0
7898,0,False,0.0,True,True,3,0,0,1
7899,1,False,1.0,True,True,3,1,0,1
7900,5,False,5.0,True,True,1,0,0,0
7901,3,False,3.0,True,True,3,0,0,1
7902,1,False,1.0,True,True,2,0,0,1
7903,10,True,10.0,True,True,3,1,0,1
7904,1,False,1.0,True,True,0,0,0,1
7905,1,True,1.0,True,True,2,0,0,3
7906,1,True,1.0,True,True,0,0,0,1
7907,4,False,4.0,False,True,3,0,0,3
7908,1,True,1.0,True,True,2,2,0,0
7909,4,True,4.0,True,True,3,1,0,1
7910,0,False,0.0,True,True,3,0,0,3
7911,0,False,0.0,True,True,3,0,0,1
7912,2,True,2.0,True,True,0,1,1,1
7913,0,False,0.0,True,True,0,0,0,1
7914,2,False,2.0,False,True,3,0,2,4
7915,5,True,5.0,True,True,0,0,0,1
7916,3,True,3.0,True,True,2,2,0,0
7917,1,False,1.0,True,True,0,0,0,1
7918,4,True,4.0,True,False,2,2,0,0
7919,5,True,6.0,True,True,0,0,0,1
7920,1,True,1.0,True,True,2,0,0,0
7921,2,True,2.0,True,True,2,0,0,3
7922,1,True,1.0,True,True,0,0,0,0
7923,1,False,1.0,True,True,3,0,0,1
7924,6,True,6.0,True,True,3,0,0,0
7925,6,True,6.0,True,True,0,1,0,0
7926,1,False,1.0,False,True,3,2,0,0
7927,0,True,0.0,True,True,2,0,0,0
7928,10,False,10.0,False,True,0,1,3,1
7929,4,False,6.0,True,True,2,0,0,1
7930,10,True,10.0,True,False,0,0,0,1
7931,3,True,3.0,True,False,3,1,0,1
7932,0,False,0.0,True,True,3,0,0,1
7933,0,False,0.0,False,True,3,1,1,3
7934,0,False,0.0,True,False,3,1,0,1
7935,0,True,0.0,True,True,0,1,0,1
7936,5,True,5.0,True,True,3,0,0,0
7937,2,True,3.0,True,True,0,0,0,0
7938,7,True,7.0,True,True,3,0,0,0
7939,6,True,6.0,True,True,3,0,2,4
7940,0,True,0.0,True,True,3,0,0,0
7941,7,False,7.0,True,True,3,0,0,3
7942,2,True,2.0,True,False,4,1,0,0
7943,3,True,3.0,True,True,0,1,0,1
7944,1,False,1.0,True,False,0,0,0,1
7945,0,False,0.0,False,False,0,0,0,3
7946,3,False,4.0,True,True,3,0,0,1
7947,0,False,0.0,False,True,2,0,0,0
7948,2,True,2.0,True,True,0,2,0,0
7949,5,True,5.0,True,True,2,2,0,0
7950,7,True,7.0,True,True,0,0,0,0
7951,6,True,6.0,True,True,2,0,0,0
7952,4,True,4.0,True,True,3,0,0,0
7953,4,True,4.0,True,True,0,0,0,0
7954,4,False,4.0,True,True,3,0,0,1
7955,0,False,0.0,False,True,3,0,0,3
7956,0,False,0.0,True,True,3,1,0,1
7957,1,False,1.0,False,False,0,0,0,3
7958,12,True,12.0,True,False,2,1,0,1
7959,2,True,2.0,True,False,1,1,0,3
7960,2,False,2.0,False,True,2,0,0,0
7961,1,False,1.0,True,False,0,0,0,3
7962,0,False,0.0,True,True,0,0,0,1
7963,0,True,0.0,True,True,2,1,0,1
7964,0,False,0.0,False,True,3,0,0,0
7965,1,False,1.0,True,True,0,0,0,1
7966,0,False,0.0,True,True,2,0,0,1
7967,1,False,1.0,False,True,3,0,2,4
7968,2,False,2.0,True,True,2,0,0,1
7969,6,True,6.0,True,True,0,1,0,1
7970,8,False,8.0,True,True,3,0,0,1
7971,2,True,2.0,True,False,0,1,0,1
7972,1,False,1.0,True,True,2,0,0,0
7973,1,False,1.0,True,True,0,0,0,1
7974,7,False,8.0,True,True,3,0,0,1
7975,2,False,2.0,True,True,2,0,0,1
7976,2,False,2.0,True,True,3,0,0,1
7977,13,True,13.0,True,True,3,1,0,1
7978,10,True,10.0,True,False,4,1,0,3
7979,2,True,2.0,True,True,2,0,0,0
7980,2,True,2.0,True,True,2,0,0,0
7981,7,False,8.0,True,True,0,0,0,4
7982,11,True,11.0,True,True,0,0,0,0
7983,2,True,2.0,True,True,3,0,0,1
7984,6,True,6.0,True,True,3,1,0,1
7985,2,False,2.0,False,True,0,0,0,0
7986,14,True,14.0,True,True,0,0,0,0
7987,2,False,2.0,True,True,4,0,0,3
7988,1,False,1.0,True,False,2,0,2,1
7989,0,False,0.0,True,True,2,0,0,1
7990,1,False,1.0,True,True,3,0,0,1
7991,0,False,0.0,True,True,2,0,0,1
7992,3,True,3.0,True,True,3,0,0,3
7993,1,True,1.0,True,True,3,0,0,1
7994,1,False,1.0,False,True,3,0,0,0
7995,5,False,5.0,False,True,2,0,0,0
7996,2,False,2.0,True,True,6,0,0,3
7997,0,False,0.0,True,True,3,0,0,1
7998,4,False,4.0,True,True,3,0,0,1
7999,0,False,0.0,True,True,2,0,0,1
8000,2,True,2.0,True,False,2,0,0,3
8001,3,False,3.0,False,True,0,0,0,0
8002,2,False,2.0,True,True,6,0,0,1
8003,4,False,5.0,True,False,2,0,0,1
8004,10,True,10.0,True,True,3,0,0,1
8005,1,True,1.0,True,False,3,0,0,0
8006,4,False,4.0,False,True,0,0,0,0
8007,1,False,1.0,True,True,2,0,0,1
8008,1,False,1.0,True,True,0,2,0,1
8009,10,True,11.0,True,True,1,1,0,1
8010,5,False,5.0,False,True,0,0,2,3
8011,7,True,7.0,True,True,0,0,0,3
8012,1,False,1.0,False,True,3,0,0,0
8013,0,False,0.0,True,True,0,0,0,1
8014,1,False,1.0,True,False,0,0,0,1
8015,2,False,2.0,True,True,2,1,0,3
8016,3,False,3.0,False,True,2,0,0,0
8017,2,True,2.0,True,True,3,0,0,1
8018,0,False,0.0,True,True,0,0,0,1
8019,4,True,4.0,True,False,4,1,0,1
8020,3,False,3.0,False,True,2,2,0,0
8021,4,True,4.0,True,True,3,0,0,3
8022,4,True,4.0,True,False,0,0,0,1
8023,0,True,0.0,True,False,1,1,0,1
8024,1,True,1.0,True,True,0,0,0,0
8025,2,False,3.0,False,True,2,0,0,3
8026,1,False,1.0,True,True,3,1,0,1
8027,0,False,0.0,True,True,2,0,0,1
8028,2,True,2.0,True,True,3,0,0,0
8029,1,True,2.0,True,True,5,0,0,1
8030,0,False,0.0,True,False,2,0,0,1
8031,1,True,1.0,True,True,0,1,0,1
8032,2,True,2.0,True,True,3,2,0,0
8033,13,True,13.0,True,True,0,0,0,0
8034,5,False,5.0,False,True,2,1,0,3
8035,4,True,4.0,True,True,3,1,0,1
8036,1,False,1.0,True,True,3,0,0,1
8037,0,False,0.0,True,True,2,0,0,1
8038,1,False,0.0,True,False,0,1,0,1
8039,0,False,0.0,True,True,0,0,0,1
8040,14,True,14.0,True,False,0,1,0,3
8041,2,False,2.0,False,False,0,0,0,3
8042,2,False,2.0,True,True,3,0,0,3
8043,1,False,1.0,True,True,3,0,0,3
8044,3,False,3.0,False,True,3,2,0,0
8045,0,False,0.0,True,True,2,0,0,3
8046,1,True,1.0,True,True,3,0,0,1
8047,2,True,2.0,True,True,0,0,0,0
8048,5,False,5.0,True,True,0,0,0,1
8049,15,True,15.0,True,False,2,1,1,4
8050,2,False,2.0,False,False,0,0,2,4
8051,4,True,4.0,True,False,0,0,0,1
8052,5,True,5.0,True,True,2,0,0,0
8053,0,False,0.0,True,True,3,1,0,1
8054,6,True,6.0,True,True,3,2,0,0
8055,4,True,4.0,True,True,3,0,0,0
8056,4,False,4.0,True,True,3,0,0,0
8057,14,True,14.0,True,True,2,1,1,4
8058,8,True,8.0,True,False,4,1,0,1
8059,0,False,0.0,True,True,5,0,0,1
8060,6,True,7.0,True,False,2,0,0,1
8061,2,False,2.0,True,True,0,0,0,1
8062,0,False,0.0,True,True,2,1,0,1
8063,3,True,3.0,True,True,3,1,0,3
8064,2,False,2.0,False,True,2,2,0,0
8065,3,True,3.0,True,True,0,0,0,0
8066,5,True,5.0,True,True,0,1,0,3
8067,2,False,2.0,True,True,0,0,0,0
8068,0,False,0.0,False,False,2,0,0,3
8069,3,True,3.0,True,True,0,1,0,4
8070,0,False,0.0,True,False,2,0,2,1
8071,0,True,0.0,True,True,1,0,0,1
8072,1,True,1.0,True,False,4,0,2,4
8073,3,True,3.0,True,True,0,1,0,1
8074,8,True,8.0,True,True,0,0,0,3
8075,1,True,1.0,True,True,3,0,0,0
8076,2,False,2.0,True,True,5,0,0,3
8077,0,False,0.0,True,True,0,0,0,1
8078,1,False,1.0,True,True,0,0,0,1
8079,1,False,4.0,True,True,0,0,0,3
8080,4,True,5.0,True,True,3,0,0,1
8081,0,False,0.0,True,True,0,0,0,1
8082,1,False,1.0,False,False,0,0,1,4
8083,5,True,5.0,True,True,0,0,0,0
8084,1,False,1.0,True,True,0,0,0,1
8085,2,True,2.0,True,True,3,0,0,1
8086,1,False,1.0,False,False,0,0,2,1
8087,4,False,4.0,True,False,2,0,2,4
8088,7,True,7.0,True,True,2,1,0,1
